game_name,released_date,platform,overall_rating,exceptional,recommended,meh,skip,metacritic,suggestions_count,tags,all,new_tags,new_plat,year
Twelve Minutes,8/19/2021,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X'",3.51,42,165,101,36,71,219,singleplayer',", 'all","singleplayer', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'all",2021
Deponia Doomsday,3/1/2016,"PC', 'Xbox One', 'PlayStation 4', 'iOS', 'macOS', 'Linux'",4.2,68,87,12,7,76,466,"singleplayer', 'funny', 'comedy', 'steampunk', 'achievements'",", 'all","singleplayer', 'funny', 'comedy', 'steampunk', 'achievements', 'all","PC', 'Xbox One', 'PlayStation 4', 'iOS', 'macOS', 'Linux', 'all",2016
CAYNE,1/23/2017,"PC', 'macOS', 'Linux'",2.55,7,23,26,40,75,315,"singleplayer', 'multiplayer', 'horror', 'gore', 'violent', 'isometric'",", 'all","singleplayer', 'multiplayer', 'horror', 'gore', 'violent', 'isometric', 'all","PC', 'macOS', 'Linux', 'all",2017
Yakuza: Like a Dragon,1/16/2020,"PC', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Xbox Series S/X'",4.35,99,38,8,12,85,693,"rpg', 'crime', 'combat', 'city', 'console', 'party', 'offline', 'hero', 'race', 'journey', 'fall', 'prison', 'faith', 'sega'",", 'all","rpg', 'crime', 'combat', 'city', 'console', 'party', 'offline', 'hero', 'race', 'journey', 'fall', 'prison', 'faith', 'sega', 'all","PC', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Xbox Series S/X', 'all",2020
Mario Kart 8 Deluxe,4/27/2017,Nintendo Switch',4.42,426,266,47,20,92,372,"multiplayer', 'funny', 'exclusive', 'cartoon'",", 'all","multiplayer', 'funny', 'exclusive', 'cartoon', 'all","Nintendo Switch', 'all",2017
Far Cry 6,10/7/2021,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X'",3.39,28,41,46,22,75,969,"multiplayer', 'atmospheric', 'fps', 'survival', 'online', 'city', 'console', 'offline', 'weapons', 'fighter', 'connect'",", 'all","multiplayer', 'atmospheric', 'fps', 'survival', 'online', 'city', 'console', 'offline', 'weapons', 'fighter', 'connect', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'all",2021
Donut County,8/27/2018,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'macOS'",3.97,67,268,51,9,80,241,singleplayer',", 'all","singleplayer', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'macOS', 'all",2018
Hue,8/30/2016,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'macOS', 'Linux', 'PS Vita'",3.37,18,126,79,34,79,312,"singleplayer', 'colorful', 'metroidvania', 'narration'",", 'all","singleplayer', 'colorful', 'metroidvania', 'narration', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'iOS', 'macOS', 'Linux', 'PS Vita', 'all",2016
Carrion,7/23/2020,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux'",3.86,48,187,65,9,76,324,"singleplayer', 'horror', 'gore', 'violent'",", 'all","singleplayer', 'horror', 'gore', 'violent', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux', 'all",2020
Moving Out,4/28/2020,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS'",3.62,7,76,32,7,77,232,"singleplayer', 'multiplayer', 'party'",", 'all","singleplayer', 'multiplayer', 'party', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'all",2020
EVERSPACE,5/25/2017,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS'",3.35,14,91,62,26,80,489,"singleplayer', 'difficult', 'survival', 'exploration', 'space', 'roguelike', 'vr', 'roguelite', 'flight', 'trackir'",", 'all","singleplayer', 'difficult', 'survival', 'exploration', 'space', 'roguelike', 'vr', 'roguelite', 'flight', 'trackir', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'all",2017
Late Shift,4/17/2017,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS'",3.62,18,153,75,14,80,491,"singleplayer', 'horror', 'violent', 'crime', 'fmv'",", 'all","singleplayer', 'horror', 'violent', 'crime', 'fmv', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'all",2017
DRAGON QUEST XI: Echoes of an Elusive Age,7/29/2017,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Nintendo 3DS'",4.32,166,123,29,11,91,426,"singleplayer', 'rpg', 'fantasy', 'anime', 'jrpg'",", 'all","singleplayer', 'rpg', 'fantasy', 'anime', 'jrpg', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Nintendo 3DS', 'all",2017
Immortals: Fenyx Rising,12/3/2020,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch'",3.89,57,107,46,12,78,444,"fantasy', 'combat', 'online', 'puzzles', 'battle', 'console', 'offline', 'weapons', 'sword'",", 'all","fantasy', 'combat', 'online', 'puzzles', 'battle', 'console', 'offline', 'weapons', 'sword', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'all",2020
Obduction,8/23/2016,"PC', 'PlayStation 4', 'Xbox One', 'macOS'",3.21,25,46,42,33,76,434,"singleplayer', 'atmospheric', 'survival', 'exploration', 'mystery', 'vr', 'overlay', 'surreal', 'fmv', 'nonlinear'",", 'all","singleplayer', 'atmospheric', 'survival', 'exploration', 'mystery', 'vr', 'overlay', 'surreal', 'fmv', 'nonlinear', 'all","PC', 'PlayStation 4', 'Xbox One', 'macOS', 'all",2016
Loop Hero,3/4/2021,"PC', 'Nintendo Switch', 'macOS', 'Linux'",4.08,66,119,36,4,83,176,"singleplayer', 'rpg', 'fantasy', 'roguelike', 'medieval', 'colorful', 'magic', 'roguelite', 'minimalist', 'experimental'",", 'all","singleplayer', 'rpg', 'fantasy', 'roguelike', 'medieval', 'colorful', 'magic', 'roguelite', 'minimalist', 'experimental', 'all","PC', 'Nintendo Switch', 'macOS', 'Linux', 'all",2021
Wasteland 3,8/28/2020,"PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux'",4.09,61,95,26,6,83,674,"singleplayer', 'rpg', 'gore', 'exploration', 'violent', 'tactical', 'war', 'isometric', 'story', 'combat', 'battle', 'crpg', 'children'",", 'all","singleplayer', 'rpg', 'gore', 'exploration', 'violent', 'tactical', 'war', 'isometric', 'story', 'combat', 'battle', 'crpg', 'children', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux', 'all",2020
Battleborn,5/2/2016,"PC', 'Xbox One', 'PlayStation 4'",2.8,11,37,72,46,69,554,"singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fps', 'funny', 'comedy', 'space', 'pvp', 'memes', 'moba'",", 'all","singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fps', 'funny', 'comedy', 'space', 'pvp', 'memes', 'moba', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
ClusterTruck,9/26/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",3.79,40,151,48,15,76,212,"singleplayer', 'multiplayer', 'funny', 'difficult', 'stats', 'physics', 'memes', 'parkour', 'destruction'",", 'all","singleplayer', 'multiplayer', 'funny', 'difficult', 'stats', 'physics', 'memes', 'parkour', 'destruction', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2016
Animal Crossing: New Horizons,3/20/2020,Nintendo Switch',4.32,324,214,51,25,90,276,"singleplayer', 'exclusive'",", 'all","singleplayer', 'exclusive', 'all","Nintendo Switch', 'all",2020
Crash Team Racing Nitro-Fueled,6/21/2019,"PlayStation 4', 'Xbox One', 'Nintendo Switch'",4.04,78,161,39,9,82,286,"funny', 'furry', 'karting', 'nitro'",", 'all","funny', 'furry', 'karting', 'nitro', 'all","PlayStation 4', 'Xbox One', 'Nintendo Switch', 'all",2019
Momodora: Reverie Under the Moonlight,3/3/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",3.89,42,79,33,9,82,343,"singleplayer', 'atmospheric', 'fantasy', 'difficult', 'classic', 'exploration', 'controller', 'anime', 'cute', 'overlay', 'metroidvania'",", 'all","singleplayer', 'atmospheric', 'fantasy', 'difficult', 'classic', 'exploration', 'controller', 'anime', 'cute', 'overlay', 'metroidvania', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2016
Gravity Rush 2,1/20/2017,PlayStation 4',4,74,109,49,8,80,411,exclusive',", 'all","exclusive', 'all","PlayStation 4', 'all",2017
FINAL FANTASY XV WINDOWS EDITION,3/6/2018,PC',3.84,69,127,45,22,81,270,"singleplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'violent', 'anime', 'jrpg', 'fishing'",", 'all","singleplayer', 'atmospheric', 'rpg', 'cooperative', 'fantasy', 'violent', 'anime', 'jrpg', 'fishing', 'all","PC', 'all",2018
Batman: The Enemy Within,8/8/2017,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Xbox 360', 'PlayStation 3'",3.82,48,237,56,19,68,528,"singleplayer', 'atmospheric', 'gore', 'violent', 'dark', 'achievements', 'detective', 'episodic', 'superhero', 'noir', 'batman'",", 'all","singleplayer', 'atmospheric', 'gore', 'violent', 'dark', 'achievements', 'detective', 'episodic', 'superhero', 'noir', 'batman', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Xbox 360', 'PlayStation 3', 'all",2017
Last Day of June,8/30/2017,"PC', 'PlayStation 4', 'Nintendo Switch'",3.35,20,52,31,24,79,268,"singleplayer', 'atmospheric', 'rpg', 'cinematic', 'relaxing', 'drama', 'romance', 'other'",", 'all","singleplayer', 'atmospheric', 'rpg', 'cinematic', 'relaxing', 'drama', 'romance', 'other', 'all","PC', 'PlayStation 4', 'Nintendo Switch', 'all",2017
Hard Reset Redux,6/2/2016,"PC', 'Xbox One', 'PlayStation 4'",3.24,5,41,44,13,73,641,"singleplayer', 'horror', 'fps', 'nudity', 'cyberpunk', 'robots'",", 'all","singleplayer', 'horror', 'fps', 'nudity', 'cyberpunk', 'robots', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
Alienation,4/26/2016,PlayStation 4',3.42,14,132,89,25,79,254,exclusive',", 'all","exclusive', 'all","PlayStation 4', 'all",2016
Pillars of Eternity II: Deadfire,5/7/2018,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",4.12,88,122,31,9,82,542,"singleplayer', 'rpg', 'fantasy', 'crpg'",", 'all","singleplayer', 'rpg', 'fantasy', 'crpg', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2018
Age of Empires II: Definitive Edition,11/14/2019,PC',4.33,99,83,12,7,84,450,"singleplayer', 'rts'",", 'all","singleplayer', 'rts', 'all","PC', 'all",2019
Reigns,8/10/2016,"PC', 'iOS', 'Android', 'macOS', 'Linux'",3.81,30,202,55,10,77,109,"singleplayer', 'rpg', 'fantasy', 'comedy', 'medieval', 'overlay'",", 'all","singleplayer', 'rpg', 'fantasy', 'comedy', 'medieval', 'overlay', 'all","PC', 'iOS', 'Android', 'macOS', 'Linux', 'all",2016
Microsoft Flight Simulator 2020,8/18/2020,"PC', 'Xbox One', 'Xbox Series S/X'",4.16,78,72,16,11,90,369,"singleplayer', 'multiplayer', 'atmospheric', 'short', 'physics', 'realistic', 'colorful', 'surreal', 'flight', 'night', 'trackir', 'planet', 'simulator', 'fly', 'logic', 'challenging', 'boxing'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'short', 'physics', 'realistic', 'colorful', 'surreal', 'flight', 'night', 'trackir', 'planet', 'simulator', 'fly', 'logic', 'challenging', 'boxing', 'all","PC', 'Xbox One', 'Xbox Series S/X', 'all",2020
LEGO Star Wars: The Force Awakens,6/27/2016,"PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'Nintendo 3DS', 'macOS', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii U'",3.67,18,144,70,9,75,384,"singleplayer', 'multiplayer', 'cooperative', 'funny', 'fantasy', 'survival', 'comedy', 'space', 'lego'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'funny', 'fantasy', 'survival', 'comedy', 'space', 'lego', 'all","PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'Nintendo 3DS', 'macOS', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii U', 'all",2016
Dauntless,5/21/2019,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS'",2.96,12,99,178,69,78,593,"rpg', 'mmorpg', 'dragons'",", 'all","rpg', 'mmorpg', 'dragons', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'all",2019
Spiritfarer,8/18/2020,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",4.11,76,87,35,6,83,133,singleplayer',", 'all","singleplayer', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2020
Hunt: Showdown,2/22/2018,"PC', 'Xbox One', 'PlayStation 4'",3.89,49,96,33,12,79,358,"cooperative', 'horror', 'gore', 'violent'",", 'all","cooperative', 'horror', 'gore', 'violent', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2018
Diablo III: Eternal Collection,6/27/2017,"PlayStation 4', 'Xbox One', 'Nintendo Switch'",4.18,88,105,31,5,88,618,"multiplayer', 'fantasy', 'online', 'party', 'hell', 'devil'",", 'all","multiplayer', 'fantasy', 'online', 'party', 'hell', 'devil', 'all","PlayStation 4', 'Xbox One', 'Nintendo Switch', 'all",2017
Shadow of the Colossus  (2018),2/6/2018,PlayStation 4',4.32,292,131,67,20,91,363,"singleplayer', 'atmospheric', 'exploration', 'exclusive', 'drama', 'mistery'",", 'all","singleplayer', 'atmospheric', 'exploration', 'exclusive', 'drama', 'mistery', 'all","PlayStation 4', 'all",2018
Indivisible,10/7/2019,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux'",3.31,14,39,38,17,79,452,"singleplayer', 'rpg', 'india'",", 'all","singleplayer', 'rpg', 'india', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS', 'Linux', 'all",2019
Pinball FX3,9/26/2017,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",3.45,11,43,20,13,84,272,"singleplayer', 'multiplayer', 'pinball'",", 'all","singleplayer', 'multiplayer', 'pinball', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2017
The Deadly Tower of Monsters,1/19/2016,"PC', 'PlayStation 4'",3.18,13,77,62,35,73,393,"singleplayer', 'funny', 'exploration', 'comedy', 'retro', 'aliens', 'overlay', 'robots', 'achievements', 'satire', 'dinosaurs', 'isomentric'",", 'all","singleplayer', 'funny', 'exploration', 'comedy', 'retro', 'aliens', 'overlay', 'robots', 'achievements', 'satire', 'dinosaurs', 'isomentric', 'all","PC', 'PlayStation 4', 'all",2016
"Gremlins, Inc.",3/10/2016,"PC', 'macOS', 'Linux'",3.62,22,62,23,15,75,491,"singleplayer', 'multiplayer', 'atmospheric', 'fantasy', 'comedy', 'competitive', 'steampunk', 'achievements', 'stylized', 'soundtrack', 'politics'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'fantasy', 'comedy', 'competitive', 'steampunk', 'achievements', 'stylized', 'soundtrack', 'politics', 'all","PC', 'macOS', 'Linux', 'all",2016
This Is the Police 2,7/31/2018,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'macOS', 'Linux'",3.89,32,96,29,7,64,393,"singleplayer', 'atmospheric', 'management', 'other'",", 'all","singleplayer', 'atmospheric', 'management', 'other', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'macOS', 'Linux', 'all",2018
The Surge 2,9/24/2019,"PC', 'PlayStation 4', 'Xbox One'",3.61,25,50,34,13,76,301,"singleplayer', 'atmospheric', 'rpg', 'survival', 'violent', 'futuristic', 'cyberpunk', 'mechs'",", 'all","singleplayer', 'atmospheric', 'rpg', 'survival', 'violent', 'futuristic', 'cyberpunk', 'mechs', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2019
Tetris Effect: Connected,11/10/2020,"PC', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch'",4.17,63,63,17,7,89,41,"singleplayer', 'multiplayer', 'cooperative', 'controller', 'pvp', 'vr', 'colorful', 'stylized', 'beautiful', 'psychedelic', 'abstract', 'tutorial'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'controller', 'pvp', 'vr', 'colorful', 'stylized', 'beautiful', 'psychedelic', 'abstract', 'tutorial', 'all","PC', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'all",2020
Offworld Trading Company,4/27/2016,"PC', 'macOS'",3.45,8,52,25,12,78,396,"singleplayer', 'multiplayer', 'cooperative', 'stats', 'space', 'futuristic', 'rts', 'competitive', 'building', 'overlay', 'achievements', 'management', 'economy', 'trading', 'mars', 'leaderboards', 'capitalism'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'stats', 'space', 'futuristic', 'rts', 'competitive', 'building', 'overlay', 'achievements', 'management', 'economy', 'trading', 'mars', 'leaderboards', 'capitalism', 'all","PC', 'macOS', 'all",2016
Maneater,5/22/2020,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch'",3.51,17,59,48,12,68,517,"singleplayer', 'rpg', 'fantasy', 'controller', 'story', 'combat', 'battle', 'loot', 'console', 'offline', 'nature', 'fight', 'explore', 'night', 'evolution', 'rock', 'tv', 'shark'",", 'all","singleplayer', 'rpg', 'fantasy', 'controller', 'story', 'combat', 'battle', 'loot', 'console', 'offline', 'nature', 'fight', 'explore', 'night', 'evolution', 'rock', 'tv', 'shark', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'all",2020
"Warhammer 40,000: Dawn of War III",4/27/2017,"PC', 'macOS', 'Linux'",3.04,10,41,50,28,77,644,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'classic', 'violent', 'tactical', 'stats', 'war', 'rts', 'moba'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'gore', 'classic', 'violent', 'tactical', 'stats', 'war', 'rts', 'moba', 'all","PC', 'macOS', 'Linux', 'all",2017
Phantom Doctrine,8/13/2018,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",3.25,7,37,24,15,71,257,"singleplayer', 'rpg', 'violent'",", 'all","singleplayer', 'rpg', 'violent', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2018
911 Operator,2/24/2017,"PC', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux'",3.45,5,62,28,12,68,414,"singleplayer', 'stats', 'realistic', 'management', 'education', 'practical'",", 'all","singleplayer', 'stats', 'realistic', 'management', 'education', 'practical', 'all","PC', 'Xbox One', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'all",2017
Resident Evil: Resistance,4/3/2020,"PC', 'Xbox One', 'PlayStation 4'",2.28,2,4,49,37,64,572,"multiplayer', 'horror', 'gore', 'survival', 'zombies', 'pvp'",", 'all","multiplayer', 'horror', 'gore', 'survival', 'zombies', 'pvp', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2020
Virginia,9/21/2016,"PC', 'Xbox One', 'PlayStation 4', 'macOS'",3.29,25,104,60,43,74,242,"singleplayer', 'atmospheric', 'horror', 'nudity', 'mystery', 'cinematic', 'overlay', 'detective'",", 'all","singleplayer', 'atmospheric', 'horror', 'nudity', 'mystery', 'cinematic', 'overlay', 'detective', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'all",2016
The Sexy Brutale,3/31/2017,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",3.75,27,67,24,12,83,271,"singleplayer', 'mystery', 'overlay', 'detective', 'puzzles'",", 'all","singleplayer', 'mystery', 'overlay', 'detective', 'puzzles', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2017
Do Not Feed the Monkeys,10/22/2018,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux'",3.83,22,100,17,10,77,222,"singleplayer', 'horror', 'nudity'",", 'all","singleplayer', 'horror', 'nudity', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'all",2018
Gravity Rush Remastered,2/2/2016,PlayStation 4',4.04,71,168,37,8,80,353,exclusive',", 'all","exclusive', 'all","PlayStation 4', 'all",2016
Supraland,4/5/2019,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Linux'",3.96,44,50,16,11,84,349,"singleplayer', 'cooperative', 'exploration', 'metroidvania'",", 'all","singleplayer', 'cooperative', 'exploration', 'metroidvania', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Linux', 'all",2019
Dungeons 3,10/12/2017,"PC', 'Xbox One', 'PlayStation 4', 'iOS', 'macOS', 'Linux'",3.29,12,35,30,16,74,345,"singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fantasy', 'rts', 'management', 'economy'",", 'all","singleplayer', 'multiplayer', 'rpg', 'cooperative', 'fantasy', 'rts', 'management', 'economy', 'all","PC', 'Xbox One', 'PlayStation 4', 'iOS', 'macOS', 'Linux', 'all",2017
Journey to the Savage Planet,1/28/2020,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",3.7,21,79,38,9,76,307,"singleplayer', 'multiplayer', 'exploration', 'comedy', 'violent', 'colorful', 'planet', 'alien', 'weird', 'upgrades'",", 'all","singleplayer', 'multiplayer', 'exploration', 'comedy', 'violent', 'colorful', 'planet', 'alien', 'weird', 'upgrades', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2020
Mother Russia Bleeds,9/4/2016,"PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",3.58,24,106,52,19,70,573,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'difficult', 'gore', 'violent', 'retro', 'mature', 'memes', 'illuminati'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'difficult', 'gore', 'violent', 'retro', 'mature', 'memes', 'illuminati', 'all","PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2016
Sundered,7/27/2017,"PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux'",3.4,17,63,18,24,76,344,"singleplayer', 'horror', 'difficult', 'roguelike', 'metroidvania', 'lovecraftian'",", 'all","singleplayer', 'horror', 'difficult', 'roguelike', 'metroidvania', 'lovecraftian', 'all","PC', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux', 'all",2017
Book of Demons,12/13/2018,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch'",3.67,16,78,23,12,72,577,"singleplayer', 'rpg', 'fantasy', 'controller', 'stats', 'isometric', 'demons'",", 'all","singleplayer', 'rpg', 'fantasy', 'controller', 'stats', 'isometric', 'demons', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'all",2018
Thumper,10/10/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Web'",4.15,91,136,28,8,85,222,"singleplayer', 'atmospheric', 'horror', 'fantasy', 'difficult', 'dark', 'vr', 'music', 'lovecraftian', 'rhythm', 'psychedelic'",", 'all","singleplayer', 'atmospheric', 'horror', 'fantasy', 'difficult', 'dark', 'vr', 'music', 'lovecraftian', 'rhythm', 'psychedelic', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Web', 'all",2016
theHunter: Call of the Wild,2/16/2017,"PC', 'Xbox One', 'PlayStation 4'",3.43,17,74,41,21,74,415,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'gore', 'survival', 'realistic', 'hunting'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'gore', 'survival', 'realistic', 'hunting', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2017
Little Nightmares II,2/10/2021,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch'",4.38,143,99,13,10,82,370,"singleplayer', 'atmospheric', 'horror', 'stealth', 'dark', 'thriller'",", 'all","singleplayer', 'atmospheric', 'horror', 'stealth', 'dark', 'thriller', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'all",2021
The Crew 2,6/29/2018,"PC', 'PlayStation 4', 'Xbox One'",3.24,23,80,95,35,66,297,"singleplayer', 'multiplayer', 'cooperative', 'mmo', 'driving', 'flight'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'mmo', 'driving', 'flight', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2018
Neon Chrome,4/25/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'PS Vita'",2.93,3,48,61,32,74,437,"singleplayer', 'rpg', 'gore', 'moddable', 'roguelike', 'cyberpunk', 'dystopian', 'roguelite'",", 'all","singleplayer', 'rpg', 'gore', 'moddable', 'roguelike', 'cyberpunk', 'dystopian', 'roguelite', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'PS Vita', 'all",2016
ACE COMBAT 7: SKIES UNKNOWN,1/18/2019,"PC', 'Xbox One', 'PlayStation 4'",3.97,61,111,32,12,79,486,"singleplayer', 'multiplayer', 'atmospheric', 'exploration', 'cinematic', 'realistic', 'vr', 'flight', 'flying', 'jet'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'exploration', 'cinematic', 'realistic', 'vr', 'flight', 'flying', 'jet', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2019
LEGO Worlds,3/7/2017,"PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch'",3.18,6,55,104,17,66,180,"singleplayer', 'multiplayer', 'cooperative', 'funny', 'sandbox', 'survival', 'exploration', 'comedy', 'building', 'puzzles', 'destruction', 'lego', 'voxel'",", 'all","singleplayer', 'multiplayer', 'cooperative', 'funny', 'sandbox', 'survival', 'exploration', 'comedy', 'building', 'puzzles', 'destruction', 'lego', 'voxel', 'all","PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'all",2017
Hidden Folks,2/15/2017,"PC', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux'",3.82,38,110,27,15,78,257,"singleplayer', 'funny', 'other', 'people', 'hiding'",", 'all","singleplayer', 'funny', 'other', 'people', 'hiding', 'all","PC', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'all",2017
